"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"CnvfBZOK8T",336,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0356271776431512,-0.0356271776431512,53,53,"supers"
"KaUKvu4Ak5",340,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0661398025045451,-0.0661398025045451,108,108,"supers"
"JeAERAbOPF",337,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0253178079842899,-0.0253178079842899,37,37,"non-domain experts"
"diiQ4M9J5s",341,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0460439385014068,-0.0460439385014068,76,76,"non-domain experts"
"PLUtBt5R4w",336,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.145025772050258,-0.145025772050258,133,133,"supers"
"ZAMTP8Va3i",340,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0222456089473197,-0.0222456089473197,36,36,"non-domain experts"
"dyDDKFNjSw",340,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0253178079842899,-0.0253178079842899,37,37,"non-domain experts"
"VjuG2FZBBg",336,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.321583624127462,-0.321583624127462,144,144,"non-domain experts"
"Y6OZhyI1uF",340,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0356271776431512,-0.0356271776431512,53,53,"domain experts"
"O5lOrHU9mM",336,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0356271776431512,-0.0356271776431512,53,53,"non-domain experts"
"LXpD9Cbh9n",337,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.00400802139753882,-0.00400802139753882,2,2,"supers"
"T1JHzGsqYm",341,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.294371060602578,-0.294371060602578,143,143,"supers"
"oCba7e5yKF",339,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0253178079842899,-0.0253178079842899,37,37,"supers"
"bVaRMO75mz",337,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0671018035407359,-0.0671018035407359,113,113,"supers"
"m79Pfj5MXs",337,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0356271776431512,-0.0356271776431512,53,53,"non-domain experts"
"NVn04f1hux",336,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0253178079842899,-0.0253178079842899,37,37,"non-domain experts"
"6xm9gAv351",341,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0151136378100482,-0.0151136378100482,13,13,"non-domain experts"
"OQv4APL71w",337,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0151136378100482,-0.0151136378100482,13,13,"non-domain experts"
"cNKnAmsc7C",339,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0151136378100482,-0.0151136378100482,13,13,"non-domain experts"
"L8ZpHCSIjf",338,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0151136378100482,-0.0151136378100482,13,13,"supers"
"CP7NaBnElC",338,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0151136378100482,-0.0151136378100482,13,13,"supers"
"JtE6mcNxCj",340,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0356271776431512,-0.0356271776431512,53,53,"non-domain experts"
"RVGSuELqiM",336,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0888312137066157,-0.0888312137066157,126,126,"supers"
"9fdI8ImO4g",337,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0651360329455362,-0.0651360329455362,106,106,"supers"
"4wC0IJi2II",338,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0671552751874081,-0.0671552751874081,117,117,"supers"
"YVgr8a5de9",341,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0377018671840115,-0.0377018671840115,74,74,"supers"
"V6alBlyXyh",341,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.0151136378100482,-0.0151136378100482,13,13,"supers"
"SzNbO4h3yE",339,"1. Genetically Engineered Pathogen Risk",335,"2050 (Other Experts' Beliefs)",2284,"Probability",5940,-0.00501254182354429,-0.00501254182354429,3,3,"supers"
