"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"uMtzFMNjku",338,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0408219945202552,0,56,1,"non-domain experts"
"O5lOrHU9mM",336,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.105360515657826,-0.0618754037180875,132,88,"non-domain experts"
"PLUtBt5R4w",336,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0100503358535015,-0.0512932943875506,8,61,"supers"
"Y6OZhyI1uF",340,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0618754037180875,-0.0202027073175195,109,35,"non-domain experts"
"RVGSuELqiM",336,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0470916075338506,-0.089924707527987,80,114,"supers"
"m79Pfj5MXs",337,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0408219945202552,0,56,1,"non-domain experts"
"kvFNcYsGZd",338,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0618647654768014,-0.105349404608443,105,135,"supers"
"6xm9gAv351",341,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.23572233352107,-0.186329578191493,148,148,"non-domain experts"
"SzNbO4h3yE",339,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0100503358535015,-0.0512932943875506,8,61,"supers"
"RE0hJWOCua",337,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0616201171575384,-0.105093884540395,102,132,"supers"
"CnvfBZOK8T",336,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0278852034895357,-0.0698861274641664,39,95,"supers"
"JtE6mcNxCj",340,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0512932943875506,-0.0100503358535015,85,22,"non-domain experts"
"TVhs3rbTvJ",337,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0605996221289296,-0.104028070424048,100,130,"non-domain experts"
"T1JHzGsqYm",341,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0408219945202552,0,56,1,"supers"
"nLaYYNfwRf",336,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0408219945202552,0,56,1,"supers"
"8VZdzuuT2p",340,"10. Total Extinction Risk",350,"2100 (Other Experts' Beliefs)",2393,"Probability",6049,-0.0202027073175195,-0.0618754037180875,29,88,"supers"
