"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"CnvfBZOK8T",336,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0491902441907718,-0.0491902441907718,87,87,"supers"
"KaUKvu4Ak5",340,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0439518875291828,-0.0439518875291828,72,72,"supers"
"diiQ4M9J5s",341,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0502412164367468,-0.0502412164367468,91,91,"non-domain experts"
"6mt41LgKCq",341,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.2484613592985,-0.2484613592985,138,138,"non-domain experts"
"PLUtBt5R4w",336,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.287682072451781,-0.287682072451781,140,140,"supers"
"Y6OZhyI1uF",340,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0512932943875506,-0.0512932943875506,103,103,"domain experts"
"O5lOrHU9mM",336,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0304592074847086,-0.0304592074847086,37,37,"non-domain experts"
"oCba7e5yKF",339,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0304592074847086,-0.0304592074847086,37,37,"supers"
"m79Pfj5MXs",337,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,0,0,1,1,"non-domain experts"
"JeAERAbOPF",337,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0408219945202552,-0.0408219945202552,59,59,"non-domain experts"
"bVaRMO75mz",337,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,0,0,1,1,"supers"
"6xm9gAv351",341,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0202027073175195,-0.0202027073175195,27,27,"non-domain experts"
"T1JHzGsqYm",341,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.693147180559945,-0.693147180559945,142,142,"supers"
"JtE6mcNxCj",340,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.216913001563574,-0.216913001563574,135,135,"non-domain experts"
"RVGSuELqiM",336,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.430782916092454,-0.430782916092454,141,141,"supers"
"YVgr8a5de9",341,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0356271776431512,-0.0356271776431512,51,51,"supers"
"9fdI8ImO4g",337,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.044192250792383,-0.044192250792383,74,74,"supers"
"V6alBlyXyh",341,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.00501254182354429,-0.00501254182354429,12,12,"supers"
"SzNbO4h3yE",339,"2. Non-Genetically Engineered Pathogen Risk",336,"2050 (Other Experts' Beliefs)",2302,"Probability",5958,-0.0512932943875506,-0.0512932943875506,103,103,"supers"
