"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"CnvfBZOK8T",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"supers"
"JtE6mcNxCj",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.162518929497775,-0.127833371509885,122,74,"domain experts"
"diiQ4M9J5s",341,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"non-domain experts"
"VjuG2FZBBg",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.198450938723838,-0.162518929497775,126,102,"non-domain experts"
"Y6OZhyI1uF",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"non-domain experts"
"O5lOrHU9mM",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.0202027073175195,20,5,"domain experts"
"6xm9gAv351",341,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.0202027073175195,20,5,"domain experts"
"m79Pfj5MXs",337,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0408219945202552,-0.0725706928348354,15,32,"non-domain experts"
"PLUtBt5R4w",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.0202027073175195,20,5,"supers"
"oCba7e5yKF",339,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"supers"
"CP7NaBnElC",338,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"supers"
"T1JHzGsqYm",341,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-1.77195684193187,-1.6094379124341,140,140,"supers"
"RVGSuELqiM",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"supers"
"YVgr8a5de9",341,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0768810443359576,-0.109814866007207,59,67,"supers"
"2IFeZZ1U2L",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.0202027073175195,20,5,"domain experts"
"SzNbO4h3yE",339,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"supers"
"V6alBlyXyh",341,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0618754037180875,-0.0943106794712413,51,61,"supers"
"8VZdzuuT2p",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.116533816255952,-0.150822889734584,92,97,"supers"
"LXpD9Cbh9n",337,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0429075010112765,-0.0120725812342692,17,3,"supers"
"9G5Nsqt0wt",341,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.083381608939051,-0.116533816255952,61,69,"supers"
"TVhs3rbTvJ",337,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.139262067333508,-0.174353387144778,105,110,"domain experts"
"YPfxFnbSrv",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"supers"
"ws1XzVQDPF",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"supers"
"1rYERhwf4k",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.22314355131421,-0.186329578191493,127,114,"supers"
"dyDDKFNjSw",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"non-domain experts"
"tT5tejRt23",339,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"supers"
"7m1zbFUJRe",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.150822889734584,-0.186329578191493,109,114,"supers"
"7MWGw9GIkm",338,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.083381608939051,-0.116533816255952,61,69,"supers"
"NVn04f1hux",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0304592074847086,-0.0618754037180875,9,28,"domain experts"
"m7aN09ePRI",338,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.139262067333508,-0.174353387144778,105,110,"supers"
"CAJFEY2qKY",339,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"supers"
"6YGuuP1Tjg",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"supers"
"9fdI8ImO4g",337,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.13010868534702,-0.164874643190234,103,108,"supers"
"YVARDjDafq",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"supers"
"VWEeAGa8CH",341,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"supers"
"7BTKYgoEn2",336,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"non-domain experts"
"UaWg8Bxz21",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"domain experts"
"4wC0IJi2II",338,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.162401289358824,-0.198328994939771,116,126,"supers"
"bVaRMO75mz",337,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"supers"
"pRjHzWG7d0",338,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0000200002000026867,-0.0304798262539749,4,20,"supers"
"R1ymlIhb92",340,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0304592074847086,0,9,1,"non-domain experts"
"OQv4APL71w",337,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0512932943875506,-0.083381608939051,20,39,"domain experts"
"z0LrIWau7V",341,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"non-domain experts"
"gUt4xY0psJ",337,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.0835055296603848,-0.116661914347802,67,73,"supers"
"Hc7abs1CeH",339,"3. AI Catastrophic Risk",337,"2100 (Other Experts' Beliefs)",2315,"Probability",5971,-0.105360515657826,-0.139262067333508,74,83,"non-domain experts"
