"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"CnvfBZOK8T",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"JtE6mcNxCj",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.198450938723838,-0.162518929497775,116,116,"domain experts"
"diiQ4M9J5s",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.139262067333508,-0.105360515657826,108,108,"non-domain experts"
"VjuG2FZBBg",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.328504066972036,-0.287682072451781,135,135,"non-domain experts"
"Y6OZhyI1uF",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.083381608939051,-0.0512932943875506,85,85,"non-domain experts"
"O5lOrHU9mM",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.198450938723838,-0.162518929497775,116,116,"domain experts"
"6xm9gAv351",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0202027073175195,-0.0100503358535015,46,17,"domain experts"
"kXwXbM9tn3",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0618754037180875,-0.0304592074847086,73,40,"domain experts"
"m79Pfj5MXs",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0100503358535015,-0.0408219945202552,14,56,"non-domain experts"
"PLUtBt5R4w",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.198450938723838,-0.162518929497775,116,116,"supers"
"oCba7e5yKF",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"CP7NaBnElC",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,0,-0.0304592074847086,1,40,"supers"
"T1JHzGsqYm",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-3.50655789731998,-2.81341071676004,141,141,"supers"
"RVGSuELqiM",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"YVgr8a5de9",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0181639706276712,-0.0120725812342692,34,23,"supers"
"2IFeZZ1U2L",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.083381608939051,-0.0512932943875506,85,85,"domain experts"
"SzNbO4h3yE",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0408219945202552,-0.0100503358535015,66,17,"supers"
"V6alBlyXyh",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0725706928348354,-0.0408219945202552,79,56,"supers"
"8VZdzuuT2p",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"LXpD9Cbh9n",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.16960278438618,-0.134674903326602,114,114,"supers"
"9G5Nsqt0wt",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0618754037180875,-0.0304592074847086,73,40,"supers"
"TVhs3rbTvJ",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0151136378100482,-0.0460439385014068,28,67,"domain experts"
"YPfxFnbSrv",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0202026562971126,-0.051293241755973,45,84,"supers"
"ws1XzVQDPF",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,0,-0.0304592074847086,1,40,"supers"
"1rYERhwf4k",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.22314355131421,-0.186329578191493,126,126,"supers"
"dyDDKFNjSw",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0618754037180875,-0.0304592074847086,73,40,"non-domain experts"
"tT5tejRt23",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"7m1zbFUJRe",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"7MWGw9GIkm",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0512932943875506,-0.0202027073175195,69,26,"supers"
"NVn04f1hux",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.105360515657826,-0.0725706928348354,102,102,"domain experts"
"m7aN09ePRI",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,0,-0.0304592074847086,1,40,"supers"
"CAJFEY2qKY",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0151136378100482,-0.0460439385014068,28,67,"supers"
"6YGuuP1Tjg",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0202027073175195,-0.0100503358535015,46,17,"supers"
"9fdI8ImO4g",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0145046862028817,-0.0454158635304826,26,66,"supers"
"YVARDjDafq",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0618754037180875,-0.0304592074847086,73,40,"supers"
"VWEeAGa8CH",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.105360515657826,-0.0725706928348354,102,102,"supers"
"7BTKYgoEn2",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.261364764134408,-0.22314355131421,130,130,"non-domain experts"
"UaWg8Bxz21",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.083381608939051,-0.0512932943875506,85,85,"domain experts"
"4wC0IJi2II",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0202006665032753,-0.0512911891266087,43,82,"supers"
"bVaRMO75mz",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"pRjHzWG7d0",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,0,-0.0304592074847086,1,40,"supers"
"OQv4APL71w",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.083381608939051,-0.0512932943875506,85,85,"domain experts"
"z0LrIWau7V",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0201976052897185,-0.0512880312435062,41,80,"non-domain experts"
"gUt4xY0psJ",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0150557714640329,-0.0151715075047712,27,24,"supers"
"Hc7abs1CeH",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0512932943875506,-0.0202027073175195,69,26,"non-domain experts"
"oMwyaBZi1n",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0100503358535015,-0.0202027073175195,14,26,"supers"
"WcvIgTIYRW",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.019182819416774,-0.0502412164367468,36,75,"supers"
"1wFpNtd2i4",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.139262067333508,-0.105360515657826,108,108,"non-domain experts"
"28ZyiuuoY7",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0100503358535015,-0.0202027073175195,14,26,"supers"
"3yLqxiSTDi",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0161293819298836,-0.0470916075338506,33,72,"supers"
"ymVYTYjHpk",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.226022692065053,-0.189104509090787,127,127,"non-domain experts"
"o2wUSJzgGV",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0512932943875506,-0.0202027073175195,69,26,"non-domain experts"
"TzmcTo8HLY",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0100503358535015,-0.0408219945202552,14,56,"supers"
"exkju9uRPg",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.400477566597125,-0.356674943938732,137,137,"domain experts"
"o5CxPV0lMx",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"rdpMLM1Kox",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.00400802139753882,-0.026343975339602,8,39,"domain experts"
"NMkqJmNyVy",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.00501254182354429,-0.0253178079842899,9,37,"supers"
"eBnKQQqazS",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.00501254182354429,-0.0356271776431512,9,53,"supers"
"M7YCHjaQ6z",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"ry3j9CiRVd",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.400477566597125,-0.356674943938732,137,137,"domain experts"
"3r2uTwzoCU",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.198450938723838,-0.162518929497775,116,116,"non-domain experts"
"VWYTLkhw8t",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0100503358535015,-0.0408219945202552,14,56,"supers"
"wLYtBBlIdU",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,0,-0.0304592074847086,1,40,"supers"
"WGEhbgMVb3",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0758017134162818,-0.0439518875291828,83,65,"non-domain experts"
"RZkfVJ4ftN",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0151136378100482,-0.0460439385014068,28,67,"supers"
"0tPTP4x00v",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"ZAMTP8Va3i",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0618754037180875,-0.0304592074847086,73,40,"non-domain experts"
"YxcgDv9Fwx",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0367293392042674,-0.00608145461586812,65,15,"non-domain experts"
"vUcVV3dJ5Z",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.261364764134408,-0.22314355131421,130,130,"supers"
"AQXitHKCkb",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.23572233352107,-0.198450938723838,128,128,"supers"
"8G8AWvVGVJ",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.2484613592985,-0.210721031315653,129,129,"non-domain experts"
"AgnPFWnBt2",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.198450938723838,-0.162518929497775,116,116,"non-domain experts"
"0BvNGszIQa",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0408219945202552,-0.0100503358535015,66,17,"supers"
"Y5KybM5FPN",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0202027073175195,-0.0100503358535015,46,17,"supers"
"4dMaH8wQnr",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.00501254182354429,-0.0253178079842899,9,37,"supers"
"91QEqjhcZS",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0100503358535015,-0.0408219945202552,14,56,"domain experts"
"L8ZpHCSIjf",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.00752826642079152,-0.0382212128201977,13,55,"supers"
"yETKBMBZ9t",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0181639706276712,-0.0491902441907718,34,74,"supers"
"iouKOyTKKH",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0151136378100482,-0.0460439385014068,28,67,"supers"
"ac3iLqteOA",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"2Jo6mkheCC",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.083381608939051,-0.0512932943875506,85,85,"non-domain experts"
"O7X31WX2UA",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"supers"
"joZK4FKMEK",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.00501254182354429,-0.0356271776431512,9,53,"supers"
"Yeb0elczXn",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0202025032359076,-0.0512930838612569,44,83,"supers"
"KaUKvu4Ak5",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.020151688210853,-0.0512406641935962,39,78,"supers"
"TwtfesYrHW",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0304592074847086,0,51,1,"non-domain experts"
"gMRRE5btZ4",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.019692633345736,-0.0507671170536532,37,76,"non-domain experts"
"AaaifRPJXy",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,0,-0.0304592074847086,1,40,"non-domain experts"
"XctH55oDPm",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.105360515657826,-0.0725706928348354,102,102,"supers"
"609pgyPs5I",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.371063681390832,-0.328504066972036,136,136,"non-domain experts"
"lBhwmZ0rP6",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0855578883616465,-0.0534007767271153,101,101,"non-domain experts"
"OUYckrocsT",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0505567236171523,-0.0194886765838624,68,25,"non-domain experts"
"sSkpNiXB5x",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0100503358535015,-0.0202027073175195,14,26,"supers"
"0DKx3BNQLw",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.204567165741274,-0.168418651624963,125,125,"domain experts"
"5KxuczwJ2W",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0198966317144566,-0.0509775547648675,38,77,"supers"
"AjCm42lW9X",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.261364764134408,-0.22314355131421,130,130,"domain experts"
"6mt41LgKCq",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0100503358535015,-0.0202027073175195,14,26,"domain experts"
"0vyxKRonUq",338,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0618754037180875,-0.0304592074847086,73,40,"supers"
"aLTmhWsVUB",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0100503358535015,-0.0202027073175195,14,26,"supers"
"Cl9n7LZpob",337,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.083381608939051,-0.0512932943875506,85,85,"supers"
"fROGxvG8jS",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.109814866007207,-0.0768810443359576,105,105,"non-domain experts"
"yuwfV7ueyq",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,0,-0.0304592074847086,1,40,"supers"
"bOYlj3R74w",339,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.083381608939051,-0.0512932943875506,85,85,"non-domain experts"
"6vIkmYbNfo",340,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.083381608939051,-0.0512932943875506,85,85,"supers"
"PCevaWvmv5",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.083381608939051,-0.0512932943875506,85,85,"domain experts"
"nDaw522OsP",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.0202027073175195,-0.0100503358535015,46,17,"non-domain experts"
"P9yRoGtIfj",336,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.116533816255952,-0.083381608939051,106,106,"supers"
"spv2RqHWPv",341,"3. AI Catastrophic Risk",337,"2100 (Other Superforecasters' Beliefs)",2318,"Probability",5974,-0.755022584278033,-0.693147180559945,140,140,"domain experts"
