"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"yuwfV7ueyq",341,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,0,-0.00501254182354429,1,33,"supers"
"JtE6mcNxCj",340,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,-0.00150112612626709,-0.00350613932928759,50,26,"non-domain experts"
"diiQ4M9J5s",341,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,0,-0.00501254182354429,1,33,"domain experts"
"uMtzFMNjku",338,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,-0.0100503358535015,-0.00501254182354429,116,33,"non-domain experts"
"4wC0IJi2II",338,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,-0.0099493308536681,-0.0150121201205036,109,126,"supers"
"3JtuLZxHUt",341,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,-0.00347603441365437,-0.00153117164523066,68,16,"supers"
"Y6OZhyI1uF",340,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,0,-0.00501254182354429,1,33,"non-domain experts"
"1rYERhwf4k",340,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,-0.0100503358535015,-0.00501254182354429,116,33,"supers"
"PLUtBt5R4w",336,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,0,-0.00501254182354429,1,33,"supers"
"6xm9gAv351",341,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,-0.00501254182354429,0,73,1,"non-domain experts"
"m79Pfj5MXs",337,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,-0.00330545700872648,-0.00833463679005763,67,100,"non-domain experts"
"RVGSuELqiM",336,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,-0.0100503358535015,-0.00501254182354429,116,33,"supers"
"RE0hJWOCua",337,"5. Nuclear Catastrophic Risk",341,"2030 (Other Experts' Beliefs)",2403,"Probability",6059,0,-0.00501254182354429,1,33,"supers"
