"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"JtE6mcNxCj",340,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000450101280385206,-0.000350061264295381,28,17,"non-domain experts"
"diiQ4M9J5s",341,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000200020002667045,-0.00100050033358353,5,32,"domain experts"
"uMtzFMNjku",338,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.0189789665978029,-0.0181639706276712,134,134,"non-domain experts"
"PLUtBt5R4w",336,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00581688532156485,-0.00501254182354429,121,121,"supers"
"Y6OZhyI1uF",340,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00100050033358353,-0.00180162194662821,68,87,"non-domain experts"
"3JtuLZxHUt",341,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000400080021339691,-0.000400080021339691,26,18,"supers"
"6xm9gAv351",341,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00180162194662821,-0.00100050033358353,102,32,"non-domain experts"
"m79Pfj5MXs",337,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000200020002667045,-0.00100050033358353,5,32,"non-domain experts"
"RVGSuELqiM",336,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.0189789665978029,-0.0181639706276712,134,134,"supers"
"RE0hJWOCua",337,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.001100605444033,-0.00190180728959633,73,93,"supers"
"6mt41LgKCq",341,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000800320170769155,-0.00160128136697388,48,78,"non-domain experts"
"kvFNcYsGZd",338,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.104028070424048,-0.103140758919513,152,152,"supers"
"oCba7e5yKF",339,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00180162194662821,-0.00100050033358353,102,32,"supers"
"2IFeZZ1U2L",340,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000700245114393426,-0.00150112612626709,35,65,"non-domain experts"
"SzNbO4h3yE",339,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.0189789665978029,-0.0181639706276712,134,134,"supers"
"8VZdzuuT2p",340,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00100050033358353,-0.00180162194662821,68,87,"supers"
"T1JHzGsqYm",341,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000500125041682243,-0.00130084573304807,30,61,"supers"
"V6alBlyXyh",341,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000200020002667045,-0.00100050033358353,5,32,"supers"
"gUt4xY0psJ",337,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00180162194662821,-0.00100050033358353,102,32,"supers"
"CnvfBZOK8T",336,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.0000500012500416627,-0.000750281390704177,2,28,"supers"
"TVhs3rbTvJ",337,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00119991961568624,-0.00200120106778793,92,112,"non-domain experts"
"nLaYYNfwRf",336,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000300045009001992,-0.000500125041682243,21,20,"supers"
"6YGuuP1Tjg",336,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00118069674816244,-0.00198196279131246,85,105,"supers"
"ws1XzVQDPF",336,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.0395727751198231,-0.0387408283164306,143,143,"supers"
"YPfxFnbSrv",336,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000920423459741929,-0.00172148089834044,66,85,"supers"
"dyDDKFNjSw",340,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00883894866720439,-0.00803217169726427,129,129,"non-domain experts"
"UrGFh03PMg",338,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000700245114393426,-0.00150112612626709,35,65,"supers"
"7m1zbFUJRe",340,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.0189789665978029,-0.0181639706276712,134,134,"supers"
"CP7NaBnElC",338,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.000700245114393426,-0.000100005000333347,35,12,"supers"
"9G5Nsqt0wt",341,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00113063893137362,-0.0019318648498264,77,97,"supers"
"tT5tejRt23",339,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00180162194662821,-0.00100050033358353,102,32,"supers"
"7pQJVDUCBm",341,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.0292228586769033,-0.028399474521698,141,141,"supers"
"m7aN09ePRI",338,"6. Nuclear Extinction Risk",346,"2050 (Other Experts' Beliefs)",2342,"Probability",5998,-0.00120072057651888,-0.00200200267067308,94,114,"supers"
