"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"JtE6mcNxCj",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000500012500416627,-0.000300045009001992,18,56,"non-domain experts"
"diiQ4M9J5s",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000900405243164155,-0.00055015130548127,102,102,"domain experts"
"uMtzFMNjku",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00190180728959633,-0.00155120249273651,113,113,"non-domain experts"
"PLUtBt5R4w",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"Y6OZhyI1uF",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000100005000333347,-0.000250031255209283,41,49,"non-domain experts"
"3JtuLZxHUt",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000700245114393426,-0.000350061264295381,100,58,"supers"
"6xm9gAv351",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000300045009001992,-0.0000500012500416627,69,3,"non-domain experts"
"m79Pfj5MXs",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"non-domain experts"
"RVGSuELqiM",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00793137032628028,-0.00757864552355035,137,137,"supers"
"RE0hJWOCua",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,0,-0.000350061264295381,1,58,"supers"
"6mt41LgKCq",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,0,-0.000350061264295381,1,58,"non-domain experts"
"kvFNcYsGZd",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0703151739150256,-0.0699397482046817,154,154,"supers"
"oCba7e5yKF",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000900405243164155,-0.00055015130548127,102,102,"supers"
"2IFeZZ1U2L",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000300045009001992,-0.0000500012500416627,69,3,"non-domain experts"
"SzNbO4h3yE",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0099493308536681,-0.00959589367344694,139,139,"supers"
"8VZdzuuT2p",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000990049008234172,-0.000449100830683147,36,93,"supers"
"T1JHzGsqYm",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000600180072032461,-0.000250031255209283,97,49,"supers"
"V6alBlyXyh",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000110006050443758,-0.000240028804608848,49,48,"supers"
"gUt4xY0psJ",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000300045009001992,-0.0000500012500416627,69,3,"supers"
"CnvfBZOK8T",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000280039207318817,-0.0000700024501143538,67,25,"supers"
"TVhs3rbTvJ",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000992049206453874,-0.000449300920543509,37,94,"non-domain experts"
"nLaYYNfwRf",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0014009809156281,-0.00105055163617913,110,110,"supers"
"6YGuuP1Tjg",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000800032001706459,-0.000430092476510925,26,83,"supers"
"ws1XzVQDPF",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0201006717070029,-0.0197436290366112,145,145,"supers"
"YPfxFnbSrv",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00018001620194422,-0.000170014451637879,52,44,"supers"
"dyDDKFNjSw",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00793137032628028,-0.00757864552355035,137,137,"non-domain experts"
"UrGFh03PMg",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"7m1zbFUJRe",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00390762483101708,-0.00355631620277724,129,129,"supers"
"CP7NaBnElC",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000350061264295381,0,74,1,"supers"
"9G5Nsqt0wt",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000500012500416627,-0.000400080021339691,18,76,"supers"
"tT5tejRt23",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00290421314738983,-0.00255325678771729,119,119,"supers"
"7pQJVDUCBm",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"m7aN09ePRI",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000100005000333347,-0.000450101280385206,41,98,"supers"
"1rYERhwf4k",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"Z6cUL9OoB2",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000800032001706459,-0.000430092476510925,26,83,"supers"
"9fdI8ImO4g",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000260033805859847,-0.0000900040502430509,65,26,"supers"
"vUcVV3dJ5Z",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000940044182769194,-0.000444098597185847,33,90,"supers"
"7MWGw9GIkm",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00290421314738983,-0.00255325678771729,119,119,"supers"
"VWEeAGa8CH",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,0,-0.000350061264295381,1,58,"supers"
"RZkfVJ4ftN",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000100005000333347,-0.000250031255209283,41,49,"supers"
"i3GS2ktt2H",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"non-domain experts"
"pRjHzWG7d0",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"R1ymlIhb92",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000100005000333347,-0.000450101280385206,41,98,"non-domain experts"
"WcvIgTIYRW",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000999049903374009,-0.000450001235370004,38,95,"supers"
"0vyxKRonUq",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000650211341586356,-0.000300045009001992,99,56,"supers"
"ymVYTYjHpk",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000900405243164155,-0.00055015130548127,102,102,"non-domain experts"
"YVgr8a5de9",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000800032001706459,-0.000430092476510925,26,83,"supers"
"3r2uTwzoCU",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00320513094894834,-0.00285406898290647,126,126,"non-domain experts"
"0DKx3BNQLw",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000500125041682243,-0.00015001125112511,94,35,"non-domain experts"
"M7YCHjaQ6z",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00190180728959633,-0.00155120249273651,113,113,"supers"
"1GNkk1uuqi",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,0,-0.000350061264295381,1,58,"supers"
"TzmcTo8HLY",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00340579313483282,-0.00305466072922871,127,127,"supers"
"LXpD9Cbh9n",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00021002205308753,-0.000140009800914792,60,34,"supers"
"VjuG2FZBBg",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00290421314738983,-0.00255325678771729,119,119,"non-domain experts"
"28ZyiuuoY7",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000200002000026867,-0.000370068466889002,13,71,"supers"
"exkju9uRPg",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000570016245617074,-0.000407082846979956,23,80,"non-domain experts"
"AQXitHKCkb",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000290042058131448,-0.0000600018000719522,68,24,"supers"
"YVARDjDafq",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000900405243164155,-0.00055015130548127,102,102,"supers"
"bVaRMO75mz",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000800032001706459,-0.000430092476510925,26,83,"supers"
"joZK4FKMEK",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000200020002667045,-0.00015001125112511,54,35,"supers"
"ry3j9CiRVd",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00290421314738983,-0.00255325678771729,119,119,"domain experts"
"fSyPMmGlZM",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00290421314738983,-0.00255325678771729,119,119,"non-domain experts"
"eBnKQQqazS",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,0,-0.000350061264295381,1,58,"supers"
"4wC0IJi2II",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"oXfHuaqm90",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000443098153489039,-0.0000930043247681474,92,29,"supers"
"XctH55oDPm",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"NMkqJmNyVy",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,0,-0.000350061264295381,1,58,"supers"
"WGEhbgMVb3",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000220024203549917,-0.000130008450732368,62,32,"non-domain experts"
"oMwyaBZi1n",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"1wFpNtd2i4",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00491204436102064,-0.0045603827563316,132,132,"non-domain experts"
"0tPTP4x00v",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000200020002667045,-0.00015001125112511,54,35,"supers"
"3yLqxiSTDi",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0099493308536681,-0.00959589367344694,139,139,"supers"
"o5CxPV0lMx",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000300045009001992,-0.0000500012500416627,69,3,"supers"
"HbsqHkEIIT",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000215023115813291,-0.000135009113320204,61,33,"supers"
"iouKOyTKKH",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000200020002667045,-0.00015001125112511,54,35,"supers"
"wLYtBBlIdU",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000500012500416627,-0.000400080021339691,18,76,"supers"
"AgnPFWnBt2",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000200020002667045,-0.00015001125112511,54,35,"domain experts"
"Hc7abs1CeH",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000900040502430509,-0.000440096828404036,31,88,"non-domain experts"
"91QEqjhcZS",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00491204436102064,-0.0045603827563316,132,132,"non-domain experts"
"Y5KybM5FPN",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00290421314738983,-0.00255325678771729,119,119,"supers"
"yETKBMBZ9t",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000700024501143538,-0.000420088224703758,25,82,"supers"
"0BvNGszIQa",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0221433646856899,-0.0217855920719223,149,149,"supers"
"VWYTLkhw8t",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0099493308536681,-0.00959589367344694,139,139,"supers"
"kXwXbM9tn3",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.001100605444033,-0.000750281390704177,108,108,"non-domain experts"
"YxcgDv9Fwx",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000380007220182737,-0.00038807529147608,17,75,"non-domain experts"
"2Jo6mkheCC",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0099493308536681,-0.00959589367344694,139,139,"non-domain experts"
"rdpMLM1Kox",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000300004500089747,-0.000380072218295928,15,73,"non-domain experts"
"51iEV59ge2",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000300045009001992,-0.0000500012500416627,69,3,"non-domain experts"
"Yeb0elczXn",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000200002000026867,-0.000370068466889002,13,71,"supers"
"ac3iLqteOA",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000200020002667045,-0.00015001125112511,54,35,"supers"
"KaUKvu4Ak5",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000980048023137962,-0.000448100381981875,35,92,"supers"
"NVn04f1hux",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0069239150728242,-0.00657154538303886,135,135,"non-domain experts"
"sSkpNiXB5x",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"gMRRE5btZ4",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000100004990332346,-0.000450101270380703,39,96,"domain experts"
"f4NRy23f5M",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"supers"
"TwtfesYrHW",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000870378669644362,-0.000520135246887585,101,101,"non-domain experts"
"AaaifRPJXy",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0201006717070029,-0.0197436290366112,145,145,"domain experts"
"609pgyPs5I",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000100005000333347,-0.000450101280385206,41,98,"non-domain experts"
"OUYckrocsT",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000260033805859847,-0.0000900040502430509,65,26,"domain experts"
"lBhwmZ0rP6",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000443098153489039,-0.0000930043247681474,92,29,"non-domain experts"
"nDaw522OsP",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00240288461631031,-0.00205210412613083,118,118,"non-domain experts"
"o2wUSJzgGV",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0252152491410638,-0.0248563759988665,150,150,"domain experts"
"5KxuczwJ2W",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000800032001706459,-0.000430092476510925,26,83,"supers"
"7BTKYgoEn2",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0511880367694333,-0.0508197223299745,152,152,"non-domain experts"
"O7X31WX2UA",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000500012500416627,-0.000400080021339691,18,76,"supers"
"PCevaWvmv5",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000400080021339691,-0.0000500012500416627,76,3,"non-domain experts"
"aLTmhWsVUB",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00742751582879658,-0.00707496867196339,136,136,"supers"
"Cl9n7LZpob",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0099493308536681,-0.00959589367344694,139,139,"supers"
"L8ZpHCSIjf",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000258533416884017,-0.0000915041863803933,64,28,"supers"
"yuwfV7ueyq",341,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000200020002667045,-0.00015001125112511,54,35,"supers"
"GszwdpWA4M",338,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000350061264295381,0,74,1,"supers"
"6vIkmYbNfo",340,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000100005000333347,-0.000250031255209283,41,49,"supers"
"4dMaH8wQnr",336,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.0000100000500002878,-0.000360064815556227,12,70,"supers"
"hL4Fxfwjkj",337,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.000100005000333347,-0.000250031255209283,41,49,"non-domain experts"
"iUmeczZTqa",339,"6. Nuclear Extinction Risk",346,"2050 (Other Superforecasters' Beliefs)",2345,"Probability",6001,-0.00350613932928759,-0.00315497169330118,128,128,"domain experts"
