"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"diiQ4M9J5s",341,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.000103455351320321,0,6,1,"non-domain experts"
"yuwfV7ueyq",341,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.000836900103217479,-0.000940442077056719,54,54,"supers"
"CnvfBZOK8T",336,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.00914513960666267,-0.00904074465214907,107,107,"supers"
"Y6OZhyI1uF",340,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.0069273890492542,-0.00682322534812554,99,99,"non-domain experts"
"m79Pfj5MXs",337,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.0367713034080816,-0.0366639843715915,125,125,"non-domain experts"
"RVGSuELqiM",336,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.000896952141329085,-0.00100050033358353,74,75,"supers"
"PLUtBt5R4w",336,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.222023491315668,-0.221894331913778,138,138,"supers"
"6xm9gAv351",341,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.000496673321776599,-0.000600180072032461,19,24,"non-domain experts"
"SzNbO4h3yE",339,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.0503500025850807,-0.0502412164367468,129,129,"supers"
"8VZdzuuT2p",340,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.0295353560164093,-0.0294288106908122,120,120,"supers"
"LXpD9Cbh9n",337,"7. Non-Anthropogenic Catastrophic Risk",347,"2100 (Other Experts' Beliefs)",2355,"Probability",6011,-0.115526963751532,-0.115410851511328,134,134,"supers"
