"userId","teamId","setName","setId","questionName","questionId","answerText","answerId","score_unincentivized","score_rs","rank_unincentivized","rank_rs","group"
"Y6OZhyI1uF",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0654989822326957,-0.0618754037180875,92,92,"non-domain experts"
"m79Pfj5MXs",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.131704490997428,-0.127833371509885,116,116,"non-domain experts"
"PLUtBt5R4w",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.214927396542869,-0.210721031315653,123,123,"supers"
"RVGSuELqiM",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.120361356671184,-0.116533816255952,111,111,"supers"
"6xm9gAv351",341,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0980539404753882,-0.0943106794712413,105,105,"non-domain experts"
"SzNbO4h3yE",339,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0443699477359405,-0.0408219945202552,79,78,"supers"
"CnvfBZOK8T",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0443699477359405,-0.0408219945202552,79,78,"supers"
"JtE6mcNxCj",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0234733561856421,-0.01999864650669,45,38,"non-domain experts"
"T1JHzGsqYm",341,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-2.871746293773,-2.81341071676004,136,136,"supers"
"TVhs3rbTvJ",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0288110818541196,-0.0253178079842899,60,51,"non-domain experts"
"lBhwmZ0rP6",339,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0311004789315869,-0.027599212409449,63,54,"non-domain experts"
"8VZdzuuT2p",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.016739324004298,-0.0202027073175195,34,39,"supers"
"ws1XzVQDPF",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0134905901824991,-0.0100503358535015,23,10,"supers"
"YPfxFnbSrv",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.00662187630888697,-0.0100503358535015,9,10,"supers"
"m7aN09ePRI",338,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0269601815827831,-0.0304592074847086,55,59,"supers"
"7m1zbFUJRe",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.00662187630888697,-0.0100503358535015,9,10,"supers"
"dyDDKFNjSw",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.154784213800866,-0.150822889734584,118,118,"non-domain experts"
"9G5Nsqt0wt",341,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.166526950895314,-0.162518929497775,120,120,"supers"
"YVARDjDafq",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.00662187630888697,-0.0100503358535015,9,10,"supers"
"diiQ4M9J5s",341,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.120361356671184,-0.116533816255952,111,111,"non-domain experts"
"V6alBlyXyh",341,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0460439385014068,-0.0424900516209521,87,87,"supers"
"VWEeAGa8CH",341,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.00662187630888697,-0.0100503358535015,9,10,"supers"
"ymVYTYjHpk",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.390675022635529,-0.385662480811985,134,134,"non-domain experts"
"1GNkk1uuqi",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0580529314486171,-0.0544561857960589,90,90,"supers"
"R1ymlIhb92",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.016739324004298,-0.0202027073175195,34,39,"non-domain experts"
"7MWGw9GIkm",338,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.016739324004298,-0.0202027073175195,34,39,"supers"
"tT5tejRt23",339,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0443699477359405,-0.0408219945202552,79,78,"supers"
"VjuG2FZBBg",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.178409219974039,-0.174353387144778,121,121,"non-domain experts"
"exkju9uRPg",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.240035418984428,-0.23572233352107,124,124,"non-domain experts"
"TzmcTo8HLY",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0186732652656213,-0.0152151658064804,41,35,"supers"
"JeAERAbOPF",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0236781273545771,-0.0202027073175195,46,39,"non-domain experts"
"M7YCHjaQ6z",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.00340579313483282,0,4,1,"supers"
"LXpD9Cbh9n",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0870841069071134,-0.083381608939051,102,102,"supers"
"1rYERhwf4k",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0443699477359405,-0.0408219945202552,79,78,"supers"
"28ZyiuuoY7",339,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0339705195711533,-0.0304592074847086,68,59,"supers"
"eBnKQQqazS",338,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,0,-0.00340579313483282,1,4,"supers"
"gUt4xY0psJ",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.00697325673920295,-0.0104029232576607,17,28,"supers"
"0tPTP4x00v",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.240035418984428,-0.23572233352107,124,124,"supers"
"3yLqxiSTDi",338,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.016739324004298,-0.0202027073175195,34,39,"supers"
"oMwyaBZi1n",341,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.376003397958545,-0.371063681390832,133,133,"supers"
"RZkfVJ4ftN",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0321100539182336,-0.0356271776431512,64,67,"supers"
"CP7NaBnElC",338,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0372865847860166,-0.0408219945202552,77,78,"supers"
"o5CxPV0lMx",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0134905901824991,-0.0100503358535015,23,10,"supers"
"ry3j9CiRVd",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.178409219974039,-0.174353387144778,121,121,"non-domain experts"
"vUcVV3dJ5Z",340,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0665672442721131,-0.0629397997738741,99,99,"supers"
"WcvIgTIYRW",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.037286480986977,-0.0408218903535939,75,76,"supers"
"NMkqJmNyVy",336,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.00340579313483282,0,4,1,"supers"
"91QEqjhcZS",341,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.00160128136697388,-0.00501254182354429,3,6,"non-domain experts"
"HbsqHkEIIT",337,"9. Total Catastrophic Risk",349,"2050 (Other Superforecasters' Beliefs)",2381,"Probability",6037,-0.0269601815827831,-0.0304592074847086,55,59,"supers"
