"Finished","ID","NumParamML_1_1","NumParamML_2_1","NumParamML_3_1","StateBio100k_1_1","StateBio100k_2_1","StateBio100k_3_1","PHEIC10k_1_1","PHEIC10k_2_1","PHEIC10k_3_1","mRNA_1_1","mRNA_2_1","DiseaseSurveil_1_1","DiseaseSurveil_2_1","MaxCompute_1_1","MaxCompute_2_1","MaxCompute_3_1","HumanExtReasons","HumanExtReasons_8_TEXT"
"True","PU7t4ACvZYH",9e+06,1.5e+07,3e+07,3,15,30,0,2,7,1e+05,10000,40,60,7,14,30,"Nuclear Weapons",""
"True","PCP7NaBnElC",2,4,8,0,0,2,2,100,2000,0,4,4,35,15,18,22,"Natural Pathogens (e.g. natural pandemics)",""
"True","PWcvIgTIYRW",9e+06,2e+07,5e+07,2,4,8,2,6,12,5.5e+09,6e+09,10,30,10,20,50,"Artificial Intelligence",""
"True","Po5CxPV0lMx",8e+06,9e+06,1.2e+07,0,0,0,0,1,3,7e+09,1e+10,0,0,28,21,14,"Other",""
"True","P3yLqxiSTDi",1e+14,1e+18,Inf,0,0,0,0,2,4,0,0,0,50,60,100,1000,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PTVhs3rbTvJ",1e+30,1e+50,1e+80,0,0,1,0,1,3,10000,2e+06,0.001,0.1,50,70,120,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PhUdns6O9Fp",5e+13,1.5e+14,5e+14,0,0,1,0,1,1,1e+09,5e+09,100,100,39,35,25,"Nuclear Weapons",""
"True","PnLaYYNfwRf",1,1,1,0,1,2,1,2,6,3e+09,5e+09,10,25,1,1,1,"Nuclear Weapons",""
"True","PcNKnAmsc7C",4e+14,8e+15,5e+15,1,2,5,1,3,6,4e+09,6e+09,30,80,32,40,100,"Nuclear Weapons",""
"True","PW6MZDSGgUt",15,20,40,0,0,0,0,1,9,1.4e+10,1.6e+10,0,0,30,52,80,"Nuclear Weapons",""
"True","PoCba7e5yKF",7e+06,1.8e+07,4e+07,25,10,2,8,5,2,4.9e+07,5e+05,27895,50857,4e+05,809097,9006765,"Nuclear Weapons",""
"True","PcyS1uH6T3M",1e+10,1e+12,1e+17,0,2,5,1,3,12,5000,20000,1,10,1e+24,1e+30,1e+80,"Other","Natural disasters"
"True","P1B7umIbdbx",2e+14,9e+14,2e+17,0,1,7,1,3,18,5,25,40,90,6,50,300,"Artificial Intelligence",""
"True","PhYQIb4XzOA",141,150,270,0,2,4,0,1,3,1e+05,5e+07,70,20,40,42,60,"Extra-terrestrials (aliens)",""
"True","P6SF1wvasYK",1e+09,1e+10,1e+12,0,0,0,0,1,7,0,0,0,3,1.2e+10,1.6e+10,3e+10,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PeBnKQQqazS",5,50,500,0,0,0,0,1,1,20000,8e+06,65,75,30,45.5,65,"Extra-terrestrials (aliens)",""
"True","Pzvnj39pW56",4e+09,9e+09,1e+11,0,2,15,6,9,22,4e+09,5e+09,0,10,20,32,90,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","P4wC0IJi2II",3.2e+13,2e+14,5e+15,0,0,1,0,2,5,0,20000,67,95,30,200,500,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","Pj46o0WZGML",1.5e+13,8e+13,3e+14,0,1,3,1,3,7,50000,4e+09,25,100,80,200,800,"Artificial Intelligence",""
"True","P5KxuczwJ2W",1e+14,1e+22,1e+32,0,0,0,0,3,9,0,1e+06,30,50,525,650,1000,"Natural Pathogens (e.g. natural pandemics)",""
"True","PrW9ghLEuh5",2e+14,3e+14,3.5e+14,1,2,3,0,1,6,13000,95000,3,12,40000,5e+06,5e+07,"Other","human-induced climate change"
"True","PNOQohWXQpx",3e+14,1e+20,1e+50,0,0,0,0,2,25,0,80,0.1,0.3,44,56,116,"Other","Climate change, natural changes in the solar system (Malkovich cycles, another body becoming unstable in the solar system such as mercury, the moon, or 'planet 9')"
"True","PonW3lOpcCy",15,17,30,0,1,1,0,0,2,2e+08,1e+09,0,1,20000,50000,1500000,"Natural Pathogens (e.g. natural pandemics)",""
"True","P6vIkmYbNfo",2e+12,2e+13,5e+13,0,1,1,0,3,5,1e+06,5e+07,10,50,42000,1e+05,5e+05,"Artificial Intelligence",""
"True","PcwIEA0Nm2k",0,0,0,0,0,0,0,2,10,0,2.5e+07,0,0,0,0,0,"Other non-anthropogenic causes",""
"True","PYPfxFnbSrv",2e+06,8e+06,1e+12,0,1,2,0,2,4,5e+06,1e+08,10,70,24,30,50,"Other","Climate change "
"True","PI1ighZQeKQ",1e+06,8e+06,1.4e+07,1,8,13,1,5,8,5e+06,3e+08,30,70,400,2500,10000,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PgVAWQihvSf",6e+09,1.56e+11,1.6e+13,0,0,1,0,2,5,0,1e+05,0.5,12,1000,1e+06,1e+08,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PmE2U3HDzSV",5e+06,8.43e+08,1e+08,1,5,10,0,1,4,2e+10,4e+10,50,100,2e+07,1e+09,1e+10,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PjOMncdM9Cy",4e+06,8500000,5e+07,0,1,3,0,1,3,6e+09,7.8e+09,30,90,2.5,4.2e+07,5e+13,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","P5bFL6MscPG",2e+13,1e+14,1e+15,0,0,1,0,2,7,10000,1e+08,10,50,1e+05,1e+07,1e+09,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PO7X31WX2UA",1e+15,1e+22,1e+100,0,0,1,0,1,2,360,3600,55,75,39.78,200,900,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","P7Xw8fDrVzZ",250,200,150,0,0,0,1,1,2,35,40,1,2,300,200,100,"Natural Pathogens (e.g. natural pandemics)",""
"True","PAtl7AT6BHb",100,50,25,1,10,20,1,10,20,50,500,50,25,200,50,25,"Other","Wars and conflicts"
